a,x,y
1,0.6452784399270958,0.7635189599513971
0,0.5108368838619233,0.3405579225746155
1,0.621604245597651,0.7477361637317672
1,0.7752653652739748,0.8501769101826497
1,0.47036719614077166,0.6469114640938477
1,0.9331926855568042,0.9554617903712028
1,0.711600569935861,0.8077337132905739
1,0.6596340042707425,0.7730893361804949
0,0.40425258268554626,0.26950172179036413
1,0.679825134662076,0.7865500897747172
0,0.4477238756871226,0.298482583791415
0,0.3865441173018889,0.2576960782012593
1,0.6806976199216341,0.7871317466144226
1,0.5869918454933923,0.7246612303289282
1,0.8060834663609892,0.8707223109073261
1,0.8358428417992656,0.8905618945328436
1,0.7896012294403003,0.8597341529602001
1,0.7102531357438768,0.8068354238292511
1,0.6388335206916754,0.7592223471277836
1,0.9150615143465884,0.9433743428977254
0,0.6999654240397954,0.46664361602653026
1,0.8664100571190185,0.9109400380793455
0,0.0,0.0
0,0.28729256216945726,0.19152837477963816
0,0.5674654669615478,0.3783103113076985
0,0.6081879594466467,0.4054586396310978
0,0.494661760919774,0.32977450727984925
1,0.6564096915294101,0.77093979435294
1,0.6941471953993641,0.7960981302662427
0,0.34988642109813006,0.23325761406542
1,0.5356344463791558,0.6904229642527705
0,0.0636617365933212,0.04244115772888079
0,0.4493306780609075,0.2995537853739383
0,0.35355547562405526,0.2357036504160368
1,0.7653579811755559,0.8435719874503707
1,0.5640631865769331,0.7093754577179553
1,0.6003911007027355,0.733594067135157
0,0.4730576955782742,0.31537179705218277
1,0.7493697568820428,0.8329131712546951
0,0.3016353152620605,0.201090210174707
0,0.8027666468691734,0.535177764579449
0,0.5810632442365663,0.38737549615771083
1,0.8240179528104146,0.8826786352069429
1,0.786680943725573,0.8577872958170486
1,0.626805839355589,0.7512038929037259
1,0.4085464778959851,0.6056976519306566
1,0.8256581901411134,0.8837721267607422
1,1.0,1.0
0,0.15092025264559983,0.10061350176373321
1,0.6571639922374364,0.7714426614916242
