original_a,original_x,original_y,cf_y_nonres_a1,cf_y_xres_a1
1,0.5011411554749207,0.0,0.0,0.0
1,1.0,0.31370216405293544,0.31370216405293544,0.31370216405293544
1,0.0,0.2329859186059872,0.2329859186059872,0.2329859186059872
1,0.6450222883750395,1.0,1.0,1.0
1,0.5132137685241939,0.400523541880817,0.400523541880817,0.400523541880817
1,0.6030996303721982,0.9029888786042242,0.9029888786042242,0.9029888786042242
1,0.2122568380562683,0.3901708594759645,0.3901708594759645,0.3901708594759645
1,0.7486298832166625,0.6474137521831576,0.6474137521831576,0.6474137521831576
1,0.4209355090169245,0.8079585782399843,0.8079585782399843,0.8079585782399843
1,0.4375837269257294,0.4148899492111784,0.4148899492111784,0.4148899492111784
