original_a,original_x,original_y,cf_y_nonres_a0,cf_y_xres_a0,cf_y_nonres_a1,cf_y_xres_a1
0,1.0,0.029340869497550912,0.029340869497550937,0.029340869497550937,0.31668398733856734,0.31189983345424593
0,0.8470652830053241,0.4735169448361351,0.4735169448361351,0.4735169448361351,0.7608600626771516,0.7560759087928302
1,0.316513981989102,0.2033127620625773,-0.08403035577843909,-0.07924620189411768,0.2033127620625773,0.2033127620625773
1,0.4386326653833947,1.0,0.7126568821589836,0.717441036043305,1.0,1.0
1,0.9174367959516848,0.8045857041405295,0.5172425862995131,0.5220267401838345,0.8045857041405295,0.8045857041405295
1,0.3612338119581097,0.09387435974170824,-0.1934687580993082,-0.18868460421498678,0.09387435974170821,0.09387435974170821
1,0.6626210601362398,0.5791420182626521,0.2917989004216357,0.2965830543059571,0.5791420182626521,0.5791420182626521
0,0.6053866543663963,0.3945002743872414,0.3945002743872414,0.3945002743872414,0.6818433922282578,0.6770592383439364
0,0.0,0.0,0.0,0.0,0.2873431178410164,0.282558963956695
0,0.16144166415971076,0.3468411662814584,0.34684116628145834,0.3468411662814584,0.6341842841224747,0.6294001302381533
