original_a,original_x,original_y,cf_y_nonres_a1,cf_y_xres_a1
1,0.7932998010263418,0.478101857673805,0.478101857673805,0.478101857673805
1,0.5485580821166337,0.0,0.0,0.0
1,0.10902789916361563,0.2810691196101606,0.2810691196101607,0.2810691196101606
1,0.6885158019316558,1.0,1.0,1.0
1,0.7491240356484544,0.29907924765130217,0.29907924765130217,0.29907924765130217
1,0.3574498940015388,0.4081126140447202,0.4081126140447202,0.4081126140447202
1,0.0,0.309044298784623,0.309044298784623,0.309044298784623
1,0.569247293061585,0.667200234323879,0.667200234323879,0.667200234323879
1,0.386651732009715,0.5236251528007232,0.5236251528007232,0.5236251528007232
1,1.0,0.6696473302255689,0.6696473302255689,0.6696473302255689
