original_a,original_x,original_y,cf_y_nonres_a1,cf_y_xres_a1,cf_y_nonres_a0,cf_y_xres_a0
1,0.5549026253545454,0.7032684169030302,0.7032684169030302,0.7032684169030302,0.1507738953894547,0.3699350835696971
1,1.0,1.0,1.0,1.0,0.4475054784864245,0.666666666666667
0,0.62948878942981,0.4196591929532066,0.972153714466782,0.7529925262865396,0.4196591929532066,0.4196591929532066
1,0.7410665512196559,0.8273777008131039,0.8273777008131039,0.8273777008131039,0.2748831792995285,0.49404436747977093
1,0.9402619921634028,0.9601746614422684,0.9601746614422684,0.9601746614422684,0.40768013992869284,0.6268413281089353
1,0.6948957854010881,0.7965971902673921,0.7965971902673921,0.7965971902673921,0.24410266875381656,0.46326385693405897
0,0.7422013768780427,0.49480091791869496,1.0472954394322707,0.828134251252028,0.49480091791869496,0.49480091791869496
0,0.0,0.0,0.5524945215135755,0.33333333333333304,0.0,0.0
1,0.8334686028764849,0.8889790685843232,0.8889790685843232,0.8889790685843232,0.33648454707074765,0.5556457352509901
1,0.7372073069290253,0.8248048712860168,0.8248048712860168,0.8248048712860168,0.2723103497724413,0.4914715379526837
