original_a,original_x,original_y,cf_y_nonres_a0,cf_y_xres_a0,cf_y_nonres_a1,cf_y_xres_a1
0,0.08098219483687975,0.07387052660238294,0.07387052660238293,0.07387052660238294,0.6714862906607293,0.5299616880680509
1,0.4535683859977884,0.8698282254133467,0.2722124613550004,0.4137370639476788,0.8698282254133467,0.8698282254133467
1,0.596272066297513,1.0,0.4023842359416537,0.5439088385343321,1.0,1.0
0,0.6689948057881462,0.6102452359728285,0.6102452359728285,0.6102452359728285,1.207861000031175,1.0663363974384965
0,1.0,0.9121823229313352,0.9121823229313352,0.9121823229313352,1.5097980869896817,1.368273484397003
1,0.5421470504191447,0.9506281172873748,0.3530123532290284,0.49453695582170687,0.9506281172873748,0.9506281172873748
1,0.5906249580307654,0.9948488076633936,0.39723304360504724,0.5387576461977257,0.9948488076633936,0.9948488076633936
0,0.21444560111989072,0.19561348657194844,0.19561348657194844,0.19561348657194844,0.7932292506302947,0.6517046480376163
0,0.0,0.0,0.0,0.0,0.5976157640583464,0.4560911614656679
0,0.3785992782756381,0.3453515691175985,0.3453515691175985,0.3453515691175985,0.9429673331759447,0.8014427305832663
