original_a,original_x,original_y,cf_y_nonres_a1,cf_y_xres_a1,cf_y_nonres_a0,cf_y_xres_a0
1,0.7452131486837753,0.8134368918981094,0.8134368918981094,0.8134368918981094,0.1374223622414857,0.5670867794224284
1,1.0,0.8272282264238005,0.8272282264238005,0.8272282264238005,0.15121369676717672,0.5808781139481194
1,0.8756362006626565,0.8015464215406343,0.8015464215406343,0.8015464215406343,0.12553189188401057,0.5551963090649532
1,0.6815160092064284,0.7269604823969967,0.7269604823969967,0.7269604823969967,0.050945952740373064,0.48061036992131567
0,0.0,0.02635993961759854,0.7023744692742223,0.2727100520932796,0.02635993961759854,0.02635993961759854
1,0.9059578004106976,1.0,1.0,1.0,0.3239854703433762,0.7536498875243189
0,0.1548119983240478,0.0,0.6760145296566238,0.246350112475681,0.0,0.0
1,0.4640326732006083,0.534361897090866,0.534361897090866,0.534361897090866,-0.14165263256575766,0.28801178461518495
0,0.29430611815441104,0.2476065767605577,0.9236211064171814,0.4939566892362387,0.2476065767605577,0.2476065767605577
1,0.7170068066268253,0.6678229931283226,0.6678229931283226,0.6678229931283226,-0.008191536528301117,0.4214728806526415
