original_a,original_x,original_y,cf_y_nonres_a0,cf_y_xres_a0,cf_y_nonres_a1,cf_y_xres_a1
0,0.0,0.0,0.0,0.0,0.4797753189384544,0.160195963178354
1,1.0,1.0,0.5202246810615456,0.839804036821646,1.0,1.0
0,0.6639779809092979,0.5351598545533046,0.5351598545533046,0.5351598545533046,1.014935173491759,0.6953558177316586
1,0.7109756367909256,0.7141665325870526,0.2343912136485982,0.5539705694086986,0.7141665325870526,0.7141665325870526
1,0.7976029613412658,0.6852490487812204,0.20547372984276602,0.5250530856028665,0.6852490487812204,0.6852490487812204
0,0.4486473976566325,0.3877161116702583,0.3877161116702583,0.3877161116702583,0.8674914306087128,0.5479120748486124
1,0.761477931365405,0.7405418738689262,0.26076655493047174,0.5803459106905722,0.7405418738689262,0.7405418738689262
1,0.7935319832934032,0.8041728998632878,0.32439758092483323,0.6439769366849337,0.8041728998632878,0.8041728998632878
1,0.8627921206999247,0.8985765126508343,0.41880119371237984,0.7383805494724803,0.8985765126508343,0.8985765126508343
0,0.5895517848339693,0.3864940031901676,0.3864940031901676,0.3864940031901676,0.866269322128622,0.5466899663685216
