a,x,y
0,0.30101166340147073,0.22991191522108087
0,0.7339844419293574,0.2556476252922521
1,0.7751223018808967,0.5201071068384591
0,0.5885793970654177,0.4662405835753237
0,0.7295016795561258,0.7881835104879164
1,0.7880379730200541,0.6524411456435296
1,1.0,0.9846313128612174
1,0.5078218004709621,0.4878303971090355
1,0.7172388398574412,0.6627572200480198
0,0.6108003455734224,0.18905380625180776
1,0.6404373296354322,0.7904327690664497
1,0.5902470492922399,0.8294263764790436
0,0.2175147615638437,0.24778604871336624
0,0.7155277326710902,0.35540486278434574
1,0.38558788921450476,0.6861008665462057
1,0.47857968929141254,0.7650964072552405
1,0.8360994293151294,0.6671645666403078
0,0.2709626701565516,0.2886902405706641
1,0.4836980491195007,0.6747426398181945
1,0.6888240361927288,0.2822271117629419
0,0.47171074791645584,0.4086493870602096
1,0.897913325169191,0.8814845249674322
1,0.5627080019993599,0.4261118309883126
1,0.519975913003213,0.512697280947819
0,0.025743018629792877,0.28271611215730846
1,0.7185441928014337,0.877243577914236
1,0.3747738286615819,0.5148267933895602
1,0.46690472701577096,0.8484303413714016
1,0.9904234252261583,0.8345709749571425
1,0.8418944280748804,1.0
0,0.1783690990679484,0.39691945977149856
0,0.0,0.0
0,0.3313905536951372,0.39435000191199837
1,0.6986162432630701,0.2888627508381922
1,0.8622402369752962,0.770498897437263
1,0.7571778725475818,0.5957508451654856
0,0.4219666921390309,0.31302220813367493
1,0.587652737717075,0.5519656240244342
1,0.7041565335924034,0.6719828361202778
1,0.5218645069529231,0.4369907965240771
1,0.7266309241117346,0.37447183701024295
0,0.2911883090997099,0.26383878888987555
1,0.673540965858741,0.701946015194586
1,0.9614586780768193,0.4128676363129481
0,0.11968263151758146,0.22693598148156494
1,0.5316191427537466,0.6423606627686422
1,0.38387490948530995,0.506597537113969
1,0.6185659437572071,0.5648795869335804
0,0.6132111244840208,0.3592517715381112
1,0.6627668882091087,0.45704384137370335
