G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
M,W,0.06153660684385745,0.04273724340998561,MW,1,-0.9595418489211518,-1.0278554398047508,-0.2025023989775839
F,B,-0.4431730513750644,-0.5787858930432779,FB,2,-0.4431730513750644,-0.3582234288657275,-0.3582234288657275
M,W,-0.09328830453673263,0.013658512719798968,MW,3,-1.1143667603017418,-1.1530027393900975,-0.32764969856293047
F,W,-1.308016038095816,-1.340445545352262,FW,4,-1.308016038095816,-1.1907126841858748,-1.1907126841858748
M,W,0.3432107421582271,0.3205715718180052,MW,5,-0.6778677136067821,-0.8001740086752501,0.025179032151916803
M,B,-1.2956672851835729,-1.1236492196877788,MB,6,-2.316745740948582,-2.0330030634601624,-1.2076500226329956
M,W,0.11760706125526865,0.17383150027153324,MW,7,-0.9034713945097406,-0.9825328499609106,-0.1571798091337437
F,W,0.03347587619781134,-0.06499317753931387,FW,8,0.03347587619781134,-0.10636463584930898,-0.10636463584930898
F,W,-0.6538394121068544,-0.7952462422103592,FW,9,-0.6538394121068544,-0.6619318990761515,-0.6619318990761515
F,W,-2.1640450499031445,-1.9489862621936518,FW,10,-2.1640450499031445,-1.8826537822889704,-1.8826537822889704
F,W,-1.2510646186128616,-0.9937596688688174,FW,11,-1.2510646186128616,-1.14467799705259,-1.14467799705259
F,B,-0.6981488512183027,-0.7922922336874337,FB,12,-0.6981488512183027,-0.5643241947273349,-0.5643241947273349
M,B,-0.18848789452560094,-0.10724311055766933,MB,13,-1.2095663502906102,-1.1380533446982657,-0.3127003038710988
M,W,0.2790613703820428,0.18378426524285835,MW,14,-0.7420170853829664,-0.8520269086788627,-0.02667386785169576
F,W,-1.0444281055420193,-0.979155321004902,FW,15,-1.0444281055420193,-0.9776506021976425,-0.9776506021976425
M,W,-0.8636233856251412,-0.6673996019516665,MW,16,-1.8847018413901504,-1.775676147140934,-0.9503231063137672
M,W,1.4407485615915947,1.3903339501697058,MW,17,0.4196701058265855,0.08698228335861252,0.9123353241857795
M,B,0.5567560878568395,0.4253902827443721,MB,18,-0.4643223679081697,-0.5356614486155504,0.28969159221161644
F,B,-0.9591309076510429,-0.9699760751395832,FB,19,-0.9591309076510429,-0.7752799079361757,-0.7752799079361757
F,B,-0.8046381496886756,-0.9644096459329304,FB,20,-0.8046381496886756,-0.6504010929439606,-0.6504010929439606
M,W,-1.7421453050263576,-1.392848732419668,MW,21,-2.763223760791367,-2.485798600040856,-1.6604455592136893
M,B,0.5185688185566929,0.3498674629159688,MB,22,-0.5025096372083163,-0.5665287915310839,0.25882424929608294
M,W,0.5308466236756926,0.3232338076964452,MW,23,-0.49023183208931664,-0.6485051094791565,0.1768479313480104
M,B,0.4243953921773066,0.2890828830188948,MB,24,-0.5966830635877026,-0.6426505854916724,0.18270245533549456
M,W,-1.036054328737677,-0.8195806163752937,MW,25,-2.057132784502686,-1.9150546664183794,-1.0897016255912129
F,W,-0.20078392213135965,-0.2298592666665201,FW,26,-0.20078392213135965,-0.2957203467674101,-0.2957203467674101
M,B,0.2480699789174008,0.2916040796173605,MB,27,-0.7730084768476084,-0.7851770634400647,0.040175977387102185
M,B,0.12970996915069402,0.03183153006933774,MB,28,-0.8913684866143152,-0.8808492357611373,-0.055496194933970344
M,B,0.5951507989498552,0.6379334832243452,MB,29,-0.425927656815154,-0.5046264273854149,0.32072661344175196
M,W,0.2275067165316083,0.1709649806762184,MW,30,-0.793571739233401,-0.893699309153093,-0.06834626832592608
F,B,-1.845458135802724,-1.4192034729314311,FB,31,-1.845458135802724,-1.4917115090464228,-1.4917115090464228
F,W,0.020919486711229233,-0.1201564383740852,FW,32,0.020919486711229233,-0.116514153926053,-0.116514153926053
F,B,-2.2018084707313856,-2.1188242975841045,FB,33,-2.2018084707313856,-1.7797548331147917,-1.7797548331147917
M,B,0.25610732553687304,0.01904032048274804,MB,34,-0.7649711302281361,-0.7786803555376407,0.046672685289526145
F,B,-1.0654452945361468,-0.7354133341930855,FB,35,-1.0654452945361468,-0.8612154224932378,-0.8612154224932378
M,B,1.5500835580125716,1.1567599626528735,MB,36,0.5290051022475624,0.26726005403817854,1.0926130948653454
F,W,-2.367434150134507,-1.8758099023846315,FW,37,-2.367434150134507,-2.0470562446064102,-2.0470562446064102
F,W,-1.1694885743447865,-0.8986425546632264,FW,38,-1.1694885743447865,-1.078738856122559,-1.078738856122559
F,W,-1.4812923650598415,-1.1134498634451386,FW,39,-1.4812923650598415,-1.330774539918569,-1.330774539918569
M,W,-0.25401195916672403,-0.39749311805444426,MW,40,-1.2750904149317333,-1.2829180816762416,-0.45756504084907473
M,W,-0.2701489527659962,-0.1705662812470837,MW,41,-1.2912274085310054,-1.295961855797388,-0.47060881497022117
M,W,0.4265450330981042,0.2965251837558017,MW,42,-0.594533422666905,-0.7328136505714528,0.09253939025571412
M,B,-1.0372001408649163,-0.7715694058860945,MB,43,-2.0582785966299255,-1.824080191458628,-0.9987271506314612
M,W,0.9460705882304888,0.7719480145190293,MW,44,-0.07500786753452038,-0.31287334696894714,0.5124796938582198
F,W,-1.217371674597504,-0.9309666461652348,FW,45,-1.217371674597504,-1.1174434847186085,-1.1174434847186085
M,B,0.17437111548354095,0.02329706973900969,MB,46,-0.8467073402814682,-0.8447489608757708,-0.019395920048603937
M,B,-0.3508793056059642,-0.3337968390558232,MB,47,-1.3719577613709735,-1.2693167595540564,-0.4439637187268893
F,B,-1.2442575073163202,-1.1155965442788234,FB,48,-1.2442575073163202,-1.0057520178174224,-1.0057520178174224
F,W,-1.031737640597421,-0.8321464878329671,FW,49,-1.031737640597421,-0.9673927089158894,-0.9673927089158894
M,W,-1.0410704096630268,-0.6256618678826216,MW,50,-2.062148865428036,-1.9191092399150564,-1.0937561990878897
