G,R,X,Y,GR,UID,X_count,Y_count,Y_count_resolve
F,B,0.4422430494464504,-0.08643618648351747,FB,1,0.4422430494464504,0.34550834442512574,0.34550834442512574
M,B,-0.2749775789311177,-0.2395912659404659,MB,2,-1.2546986238417477,-1.1413438141399181,-0.3759235398151457
F,W,-1.4939186252037109,-1.238006739009586,FW,3,-1.4939186252037109,-1.293635650320896,-1.293635650320896
F,B,-0.09512616048413568,-0.5198880540125161,FB,4,-0.09512616048413568,-0.07431859530982243,-0.07431859530982243
M,W,-0.8984655654278185,-0.7449070674455309,MW,5,-1.8781866103384486,-1.7109403403926235,-0.9455200660678509
F,B,-0.1732623177759295,-0.1510803430678346,FB,6,-0.1732623177759295,-0.13536352157699674,-0.13536352157699674
M,W,1.5041235498783443,1.3041240449331493,MW,7,0.5244025049677142,0.16611479614892966,0.9315350704737024
M,W,-0.7202024316897022,-0.5854596201872166,MW,8,-1.6999234766003322,-1.571669863927285,-0.8062495896025126
F,B,-1.1560533607136945,-1.1460645467851265,FB,9,-1.1560533607136945,-0.903182273248268,-0.903182273248268
M,B,-0.6101579450966045,-0.7016310467082945,MB,10,-1.5898789900072345,-1.403207993899441,-0.6377877195746684
F,W,-0.4636558974746041,-0.6389461628052631,FW,11,-0.4636558974746041,-0.4887290049227296,-0.4887290049227296
M,B,-0.7208806461136569,-0.6709932512357328,MB,12,-1.700601691024287,-1.489711596763441,-0.7242913224386681
F,W,-1.581023853357394,-1.2418721690044554,FW,13,-1.581023853357394,-1.361687784114343,-1.361687784114343
M,B,0.6223703986700363,0.4935203346926367,MB,14,-0.35735064624059376,-0.44027860915301376,0.3251416651717589
F,W,-0.8975515655484685,-1.0337587721199062,FW,15,-0.8975515655484685,-0.8277158451163308,-0.8277158451163308
F,W,-1.4312317161439028,-1.3860352499938775,FW,16,-1.4312317161439028,-1.2446606575120938,-1.2446606575120938
F,W,-0.7515928218970177,-0.5805619650947109,FW,17,-0.7515928218970177,-0.7136836089138476,-0.7136836089138476
F,B,-1.1949460496260722,-1.0898772156655478,FB,18,-1.1949460496260722,-0.9335677107880483,-0.9335677107880483
F,W,-2.192248044430789,-1.8583591154679948,FW,19,-2.192248044430789,-1.8392149235339232,-1.8392149235339232
M,B,0.8027228056542672,0.6996242263512225,MB,20,-0.17699823925636282,-0.29937585979786896,0.4660444145269037
M,B,-0.04528036217802248,-0.0563702740306599,MB,21,-1.0250014070886526,-0.961889766916886,-0.19646949259211324
F,W,-1.1180723396170658,-0.9524543813779957,FW,22,-1.1180723396170658,-1.0000006727810198,-1.0000006727810198
M,B,-1.686567323158395,-1.5211792452156505,MB,23,-2.6662883680690252,-2.244167331990387,-1.4787470576656145
M,B,-0.3214927677121898,-0.4983245300499104,MB,24,-1.3012138126228199,-1.1776844324639073,-0.41226415813913464
F,B,-0.3872054823407253,-0.5051473142560121,FB,25,-0.3872054823407253,-0.30250950314161024,-0.30250950314161024
M,W,1.26003511718812,1.031701688770985,MW,26,0.28031407227748983,-0.024582582538386355,0.7408376917863864
M,W,-0.6032493711812047,-0.4708937420158543,MW,27,-1.5829704160918348,-1.4802987087167714,-0.7148784343919988
M,B,0.07067984042296388,0.06510757688410528,MB,28,-0.9090412044876661,-0.8712942953317065,-0.10587402100693391
M,W,-0.33317749538693064,-0.5173420391011145,MW,29,-1.3128985402975606,-1.2693014148118353,-0.5038811404870629
F,W,-1.8272464075250785,-1.3484179455203391,FW,30,-1.8272464075250785,-1.55405247397682,-1.55405247397682
M,B,-0.9577653177124712,-0.6791819633365779,MB,31,-1.9374863626231011,-1.6747809399814766,-0.909360665656704
M,W,0.43138602175875984,0.2920358950894853,MW,32,-0.5483350231518702,-0.6719758596730763,0.0934444146516964
F,B,0.3217463153608622,0.2005746030226508,FB,33,0.3217463153608622,0.25136864645891194,0.25136864645891194
M,B,-0.26077668717439023,-0.3240615661418553,MB,34,-1.2404977320850203,-1.1302491760074056,-0.36482890168263293
