"","x","wm","bm","am","wf","bf","af"
"1",0.152294378490398,0.632137884336933,0.328558076730227,0.516977755103479,0.489829534925136,0.137766885246144,0.284962859653389
"2",0.235205422429408,0.601328704045178,0.324578479133827,0.496506199319913,0.45643462055685,0.196504198651741,0.298594868860248
"3",0.190276893582023,0.668788563899995,0.213887522397198,0.488442412655924,0.559205929063771,0.204246390269597,0.275857603393058
"4",0.181949894112835,0.608464454880245,0.360493315861218,0.46052384222995,0.475814185243821,0.124376171792619,0.210366592455921
"5",0.146682001218983,0.628927970089701,0.290006345958721,0.414727970999335,0.455434242140782,0.14144017343187,0.240873067510494
"6",0.0107899649451577,0.641119095274149,0.336458730410101,0.452948849276213,0.467464228999798,0.18991976270552,0.372045646231917
"7",0.381209852622638,0.474261300241189,0.227980105908085,0.444107110924089,0.447412924168022,0.201562976468805,0.231561444788388
"8",0.130607143956807,0.63171386522003,0.341301046975691,0.440196556275959,0.425616890445209,0.181145980338213,0.30499979752705
"9",0.0836237380574114,0.619070132601258,0.229578305841527,0.360117897576269,0.437209145909541,0.0968731826604591,0.24710411293348
"10",0.273934029767882,0.546126065296886,0.351450402251685,0.4586406674403,0.497064004118796,0.134926777432492,0.293898584587529
"11",0.176464836774805,0.736779950585956,0.45561330877712,0.505215378624081,0.604773074074492,0.26117217300726,0.420126171209258
"12",0.0542130755994795,0.826849836241383,0.400841698859232,0.606486531730231,0.586207102550432,0.298794744233168,0.424964239889546
"13",-0.00962777898021747,0.786757062665225,0.350673994551758,0.548982746118823,0.531638791861924,0.241909696229001,0.396700472705586
"14",0.302226247730123,0.45296789861861,0.21673068935419,0.311991845460595,0.332099060362775,0.170039575383293,0.199148934249719
"15",0.286802059005765,0.551802906754719,0.31449201396409,0.456704330812417,0.45821481288785,0.14909507677946,0.32323637657387
"16",0.266674877805203,0.589388420525659,0.295565655767984,0.483075107319001,0.411437284401436,0.0865571630058091,0.268923346739107
"17",0.168574654097263,0.67213465466791,0.373163251104365,0.563719196729637,0.564617736496773,0.179337057812883,0.35193713749902
"18",0.262857648412889,0.604274233410685,0.296285541712578,0.531853468158052,0.505175765800833,0.239211517267474,0.287985823202761
"19",0.302968766988077,0.374384179319392,0.159837694175962,0.238858357202219,0.282808722704402,0.0536713242064563,0.0485322079963396
"20",0.0444590955348525,0.70480393298003,0.408393525130756,0.500067950963902,0.471016228961244,0.204866672409469,0.451566761420198
"21",0.0869944999687114,0.668052572328146,0.396927043449189,0.491965200233606,0.507581277446248,0.196727730926682,0.396612063054852
"22",-0.0220584632331654,0.801880809102824,0.417305923654451,0.648508614756062,0.620334382451966,0.265271095504356,0.533943346759921
