a,x,y
1,0.599651622334802,0.7331010815565345
1,0.6317473893475627,0.7544982595650417
1,0.6941677228451947,0.7961118152301296
1,0.9239876931886087,0.9493251287924056
1,0.671522077881437,0.7810147185876246
1,0.46065724460363194,0.6404381630690879
0,0.5480714850636474,0.36538099004243163
1,0.6924818556131375,0.7949879037420916
0,0.7825807520165748,0.5217205013443832
1,0.7185417451144455,0.8123611634096302
1,0.8396040342290623,0.893069356152708
1,0.7432032207301745,0.8288021471534497
0,0.0,0.0
1,0.6526305680872369,0.7684203787248245
0,0.49096024676119326,0.3273068311741288
0,0.6760020356641524,0.45066802377610155
0,0.1733393905495949,0.11555959369972993
0,0.5881337089027393,0.3920891392684928
0,0.23290491646120917,0.15526994430747276
1,0.882889276389019,0.9219261842593459
1,1.0,1.0
0,0.5838562839645003,0.38923752264300016
0,0.5846909323561486,0.389793954904099
0,0.5782215713286926,0.38548104755246165
0,0.37108854757514015,0.24739236505009338
