"","wm","bm","am","wf","bf","af"
"1",0.651042542933687,0.309284091924029,0.445153849695197,0.366386100684354,0.244737579291857,0.484112765059779
"2",0.58834940588234,0.214721881608201,0.322629604183945,0.371136938022029,0.140501188314694,0.468475732685926
"3",0.565107906090836,0.29659182086602,0.419567391950729,0.434341242245052,0.145006706110017,0.552734530381895
"4",0.625042110983274,0.316567597236302,0.402400410037056,0.496083997401543,0.166717962967016,0.535956422750385
"5",0.613704509223876,0.354149215223899,0.436658577862272,0.451072183801431,0.221039770586488,0.484005296254593
"6",0.648415280499744,0.360379434291119,0.500676851337374,0.491583150055629,0.232307674156918,0.581007186107258
"7",0.713622198255753,0.360433394787739,0.454247887255934,0.486547169047536,0.304425365458576,0.513266826270684
"8",0.715536347670978,0.351796189366176,0.419198205092368,0.461096715262627,0.256355868077722,0.618606166606377
"9",0.675003443969589,0.317829080330134,0.408274909346439,0.46197472344766,0.159713318450625,0.604194358353149
"10",0.613064756274405,0.236565047670266,0.295025561489398,0.339730180335233,0.127798055283123,0.493099514146871
"11",0.627723215974875,0.244467118650438,0.381153732367585,0.369804988615991,0.183181374366703,0.466779824300148
"12",0.594305718542502,0.306190430426159,0.351692894746981,0.405666877648032,0.157121343242795,0.508036725091092
"13",0.507365360448587,0.259669957246027,0.387098276142846,0.389691820940758,0.165557717762935,0.479182524046656
"14",0.66775049891496,0.363806522657567,0.459994514068438,0.464741289975753,0.181274884240855,0.528751616967881
"15",0.54494511069819,0.20633573858048,0.349882415065154,0.337560218819844,0.128841574206812,0.384445829354999
"16",0.591979230439021,0.274469726859143,0.377347331165154,0.42490292317021,0.214840699035658,0.452548851925153
"17",0.418047997976292,0.188762538748442,0.31965252171416,0.320770589347484,0.0806400952523925,0.341845923472348
"18",0.519720749794992,0.247175259462952,0.33697894073231,0.295679461650055,0.214366579672197,0.428065496241691
"19",0.539843425639273,0.29521443477874,0.398044285472423,0.368043467996311,0.26977763196162,0.485166860140743
"20",0.534642871441484,0.202746292674164,0.330697113895859,0.298123143939106,0.138237568057043,0.501988451418475
"21",0.56994241207903,0.250679742505768,0.342820254041949,0.322661851056069,0.127412269452985,0.525730891548418
"22",0.621190375489505,0.246307855716961,0.3959310306158,0.477348208930522,0.131551997571233,0.542358597034965
"23",0.546123375187463,0.2467148971354,0.36639357515778,0.275497763037721,0.0979288561883412,0.452021419445316
"24",0.609351207058719,0.255192480508939,0.352471438964526,0.451293118883842,0.163785602250504,0.447190775312293
"25",0.548422002959981,0.209067327566889,0.298287766821108,0.238959131119865,0.108285385264905,0.393628430056951
"26",0.541268626856957,0.284678838195199,0.396945432520213,0.39961626137285,0.169368052646144,0.478938620005674
"27",0.609319877353645,0.201641183036845,0.368407739505208,0.338827912813131,0.200489983607286,0.522268563409068
"28",0.554210204433551,0.269252009411451,0.304686132151934,0.290454887363631,0.168269246782497,0.48043285915938
"29",0.647824086925435,0.263866976934724,0.439078470664718,0.425592334009285,0.214062198548716,0.502399320600988
"30",0.625046697019725,0.297538164526324,0.368703819891632,0.348681296616192,0.158919778084379,0.481212605217614
"31",0.512077818095688,0.179025836283124,0.315005192570509,0.310010481534919,0.0624268594082491,0.412015542496956
"32",0.505756553024791,0.187374251181092,0.316967764491941,0.289826233755192,0.0880656107289406,0.404743989687115
"33",0.614266290541912,0.276908054561526,0.340281520335873,0.346194462280966,0.153154650522502,0.529438314996021
"34",0.51523511180102,0.227685937426183,0.272438688462944,0.285795932025588,0.17357658160047,0.399215955735761
"35",0.622894576273843,0.348123060660587,0.455310840005496,0.345655100438179,0.230134597513205,0.634935286732115
"36",0.660164447350985,0.321704900575214,0.383075520946336,0.390175372656244,0.228462996989321,0.590834744693651
"37",0.61093278047878,0.228582444511883,0.30373196453263,0.395810685599398,0.126211804748545,0.531158304747473
"38",0.608223752785773,0.313902630706408,0.411891286795515,0.374504509641125,0.220127031254736,0.481476361176459
"39",0.507374790051983,0.242173728647882,0.379105885029211,0.350274999566208,0.107597728162225,0.423429466884316
"40",0.529101441923121,0.210707748400946,0.283655816635174,0.298703341133568,0.138114396487304,0.387440424311254
"41",0.547533797768734,0.301677178991066,0.382933960192012,0.396819246476886,0.136881671939911,0.447708383085693
"42",0.598833282074739,0.226507314081105,0.378790000617567,0.393266950020128,0.150741203441024,0.394218719002461
"43",0.582373333567312,0.278766906719006,0.420399211206901,0.406897692810506,0.145541737172363,0.509538111283065
"44",0.64178088146586,0.37588121563556,0.467924027186481,0.43259606867903,0.36074044843885,0.523213869979225
"45",0.567106360800888,0.252610883608647,0.335895330795677,0.397926779324645,0.146627446165193,0.436469302592509
"46",0.62235797876195,0.315864313346606,0.419117560430533,0.385995114869926,0.232756759207324,0.452696390744252
"47",0.598689760205673,0.254638763527325,0.40841112662935,0.418443628999152,0.178082931439008,0.57052178594848
"48",0.611360194464353,0.208835142458958,0.308322608886033,0.323890562008262,0.209246153378484,0.530111500906636
"49",0.603222959492364,0.216586725155452,0.281843468573448,0.323050205858114,0.135608194528776,0.41117948630879
"50",0.586542187310113,0.27251159198739,0.387830754210414,0.39465627383058,0.17037000829928,0.419239383377162
"51",0.535469560482657,0.236666597255612,0.375648202793934,0.353952741293792,0.153613892135585,0.401763176701912
